ChapterNumber,CharCountDiff,LevDistance,Link,ParaBreakdown,Title
ADCD02000,0.0,0.0,View changes,['NA'],ADCD02000 Control: Contents
ADCD02250,0.0,0.0,View changes,['NA'],ADCD02250 Circumvention
ADCD02350,0.0,1.0,View changes,[[]],ADCD02350 Payment Of ADD/CVD
AWRS141200,1705.0,1776.0,View changes,"[[['t1', 124, '6.981981981981981%'], ['t2', 90, '5.0675675675675675%'], ['t3', 90, '5.0675675675675675%'], ['t4', 90, '5.0675675675675675%']]]",AWRS141200 How To Process A Fixed Penalty
BEER-MANUAL,0.0,1.0,View changes,[[]],Beer Guidance Manual
BEER4000,0.0,1.0,View changes,[[]],BEER4000 Small Brewery Beer: Contents
BEER4090,0.0,1.0,View changes,[[]],BEER4090 Duty Suspended Movements Within The UK
BEER6000,0.0,2.0,View changes,[[]],BEER6000 Beer Duty: Contents
BKLM331120,1.0,4.0,View changes,[[]],BKLM331120 No Comparable Scheme List
CA37700,0.0,3.0,View changes,[[]],CA37700 Enterprise Zones: Realisation Of Capital Value: Contents
CA37705,0.0,3.0,View changes,[[]],CA37705 IBA: Background
CA37720,0.0,3.0,View changes,[[]],CA37720 IBA: Conditions For Legislation To Apply
CAP-IMPORTS,1.0,4.0,View changes,[[]],CAP Imports Manual
CAPI01000,1.0,4.0,View changes,[[]],CAPI01000 Introduction: Contents
CAPI01050,1.0,5.0,View changes,[[]],CAPI01050 Introduction: Scope Of Guidance
CAPI01100,1.0,5.0,View changes,[[]],CAPI01100 Introduction: Background
CAPI01150,1.0,5.0,View changes,[[]],CAPI01150 Introduction: The Law
CAPI01200,1.0,5.0,View changes,[[]],CAPI01200 Introduction: Objectives
CAPI01250,1.0,5.0,View changes,[[]],CAPI01250 Introduction: Revenue Risks
CAPI02000,1.0,5.0,View changes,[[]],CAPI02000 General Principles: Contents
CAPI02050,1.0,7.0,View changes,[[]],CAPI02050 Legal Provisions
CAPI02100,1.0,5.0,View changes,[[]],"CAPI02100 Responsibilities Of Department For Environment, Food And Rural Affairs (DEFRA)"
CAPI02150,1.0,7.0,View changes,[[]],CAPI02150 Responsibilities Of Rural Payments Agency (RPA)
CAPI02200,1.0,5.0,View changes,[[]],CAPI02200 Responsibilities Of Her Majesty's Revenue & Customs (HMRC)
CAPI02250,1.0,4.0,View changes,[[]],CAPI02250 Responsibilities Of The UK Border Agency (UKBA)
CAPI03000,1.0,5.0,View changes,[[]],CAPI03000 Sources Of CAP Information: Contents
CAPI03050,1.0,5.0,View changes,[[]],CAPI03050 Customs Handling Of Import And Export Freight (CHIEF)
CAPI03100,1.0,5.0,View changes,[[]],CAPI03100 Other CAP Information Sources
CAPI04000,1.0,5.0,View changes,[[]],CAPI04000 CAP Charges: Contents
CAPI04050,1.0,6.0,View changes,[[]],CAPI04050 List Of CAP Charges
CAPI04100,1.0,5.0,View changes,[[]],CAPI04100 Specific Customs Duty
CAPI04150,1.0,5.0,View changes,[[]],CAPI04150 Ad Valorem Customs Duty
CAPI04200,1.0,7.0,View changes,[[]],CAPI04200 Combination Of Specific And Ad Valorem Customs Duty
CAPI04250,1.0,5.0,View changes,[[]],CAPI04250 Countervailing Charge
CAPI04300,1.0,5.0,View changes,[[]],CAPI04300 Preferential Rates Of CAP Duty
CAPI04350,1.0,4.0,View changes,[[]],CAPI04350 Safeguard Measures
CAPI04400,1.0,5.0,View changes,[[]],CAPI04400 Euro Conversion Rates
